rainfall_mm,slope_deg,susceptibility,soil_saturation,past_incidents,risk_probability,slide_occurred
13.4,44.9,0.319,0.229,1,0.263,0
27.7,43.7,0.378,0.41,5,0.545,1
176.1,30.4,0.594,0.534,6,0.879,1
30.5,26.1,0.19,0.258,3,0.171,0
17.9,44.6,0.04,0.147,3,0.272,0
45.2,43.8,0.305,0.177,3,0.467,0
12.4,49.7,0.323,0.125,4,0.474,0
3.6,29.0,0.522,0.05,5,0.222,0
6.2,32.7,0.459,0.273,2,0.231,0
6.2,18.6,0.249,0.05,2,0.137,0
7.4,31.1,0.18,0.146,1,0.132,0
6.7,45.0,0.516,0.071,1,0.353,0
46.1,30.3,0.074,0.187,2,0.177,0
9.0,41.4,0.266,0.281,3,0.31,0
19.1,33.1,0.144,0.211,3,0.2,0
102.2,38.2,0.228,0.311,2,0.54,1
28.9,23.5,0.119,0.17,1,0.114,0
49.6,35.9,0.152,0.204,1,0.153,0
8.5,10.0,0.184,0.166,0,0.044,0
9.6,33.1,0.578,0.186,0,0.108,0
1.9,18.7,0.277,0.306,0,0.089,0
8.3,47.1,0.255,0.05,2,0.346,0
14.7,42.8,0.278,0.182,2,0.232,0
8.8,39.7,0.603,0.145,3,0.375,0
4.2,50.2,0.175,0.235,4,0.506,1
5.8,25.5,0.563,0.192,2,0.21,0
27.8,52.5,0.578,0.262,5,0.834,1
10.4,44.3,0.619,0.202,5,0.501,1
20.4,32.6,0.152,0.123,4,0.224,0
31.5,46.4,0.119,0.32,4,0.361,0
52.8,23.9,0.298,0.337,2,0.125,0
1.8,26.8,0.51,0.227,6,0.308,0
72.3,28.9,0.19,0.42,0,0.194,0
44.5,29.7,0.076,0.287,2,0.197,0
3.8,24.4,0.408,0.277,2,0.111,0
93.1,47.2,0.195,0.397,4,0.733,1
114.2,32.4,0.54,0.399,4,0.683,1
2.8,38.5,0.648,0.156,3,0.407,0
14.6,29.3,0.207,0.182,4,0.15,0
73.8,16.8,0.255,0.281,3,0.214,0
62.1,37.7,0.298,0.425,4,0.403,0
9.2,15.9,0.508,0.195,2,0.08,0
10.6,34.3,0.292,0.182,2,0.22,0
20.8,21.3,0.74,0.23,3,0.215,0
29.8,54.9,0.203,0.458,1,0.58,1
43.3,44.1,0.498,0.161,2,0.486,0
20.7,36.1,0.698,0.131,7,0.567,1
27.9,47.6,0.449,0.105,1,0.397,0
61.9,26.5,0.224,0.276,2,0.199,0
1.7,40.4,0.057,0.174,1,0.197,0
13.1,37.0,0.633,0.143,1,0.212,0
56.2,37.6,0.347,0.238,1,0.268,0
101.5,47.7,0.31,0.398,2,0.71,1
32.3,42.3,0.904,0.185,4,0.683,1
34.2,37.9,0.588,0.255,1,0.308,0
5.1,18.5,0.446,0.251,5,0.075,0
26.7,25.4,0.39,0.266,2,0.114,0
34.2,33.8,0.49,0.3,4,0.369,0
12.5,35.9,0.279,0.266,1,0.268,0
14.1,23.7,0.151,0.206,1,0.067,0
21.3,59.1,0.618,0.187,3,0.877,1
0.9,50.2,0.421,0.09,2,0.472,0
17.5,41.0,0.209,0.16,2,0.222,0
10.7,35.7,0.478,0.133,5,0.353,0
17.9,32.9,0.11,0.25,1,0.151,0
5.7,25.5,0.636,0.191,4,0.274,0
99.5,35.8,0.673,0.438,5,0.684,1
40.5,37.6,0.443,0.152,5,0.325,0
51.1,22.6,0.192,0.384,2,0.161,0
70.1,38.3,0.171,0.279,2,0.307,0
31.1,33.4,0.562,0.134,3,0.268,0
4.1,15.9,0.607,0.124,3,0.145,0
34.7,26.4,0.835,0.43,1,0.248,0
39.8,30.9,0.427,0.212,3,0.179,0
61.6,53.9,0.31,0.268,1,0.573,1
25.4,40.6,0.378,0.194,3,0.309,0
6.1,21.6,0.308,0.152,6,0.181,0
15.0,39.9,0.169,0.123,3,0.291,0
20.3,19.5,0.498,0.209,4,0.193,0
46.7,45.8,0.392,0.345,2,0.498,0
38.1,30.3,0.556,0.264,2,0.247,0
19.8,34.1,0.321,0.107,2,0.17,0
193.8,48.3,0.291,0.575,1,0.885,1
41.9,22.1,0.623,0.204,4,0.164,0
12.2,21.0,0.327,0.183,2,0.089,0
4.8,29.2,0.242,0.268,1,0.14,0
7.5,45.4,0.528,0.156,1,0.33,0
12.7,19.8,0.404,0.173,1,0.108,0
7.9,10.0,0.716,0.311,1,0.073,0
9.3,30.5,0.53,0.242,0,0.152,0
15.1,40.5,0.307,0.231,2,0.324,0
8.6,47.0,0.134,0.327,2,0.256,0
102.2,30.4,0.36,0.428,2,0.409,0
3.8,30.9,0.574,0.05,3,0.119,0
33.5,46.5,0.336,0.295,1,0.399,0
23.8,16.3,0.483,0.078,4,0.164,0
181.7,31.1,0.506,0.61,4,0.799,1
5.3,36.9,0.445,0.05,4,0.225,0
22.8,39.5,0.372,0.166,1,0.17,0
157.0,29.9,0.423,0.487,2,0.717,1
90.3,35.3,0.252,0.299,1,0.321,0
76.4,10.1,0.379,0.3,3,0.131,0
13.4,28.4,0.157,0.264,3,0.154,0
8.4,39.5,0.715,0.113,3,0.37,0
49.7,25.2,0.279,0.31,1,0.191,0
119.3,35.6,0.647,0.351,3,0.742,1
36.6,39.5,0.802,0.22,6,0.6,1
38.1,31.6,0.721,0.265,5,0.386,0
14.8,36.7,0.182,0.105,3,0.175,0
66.0,25.4,0.329,0.199,1,0.218,0
9.3,32.9,0.346,0.211,2,0.225,0
17.6,41.1,0.407,0.281,3,0.363,0
24.9,36.6,0.683,0.202,2,0.415,0
31.9,29.1,0.322,0.188,2,0.227,0
12.5,37.2,0.387,0.192,3,0.265,0
5.5,42.1,0.538,0.167,4,0.413,0
42.4,14.5,0.532,0.268,4,0.134,0
15.3,46.6,0.508,0.05,1,0.307,0
39.2,31.6,0.25,0.156,1,0.227,0
7.5,39.3,0.167,0.1,1,0.138,0
29.5,47.0,0.291,0.231,2,0.42,0
34.2,21.3,0.538,0.245,3,0.196,0
2.4,27.9,0.427,0.206,4,0.2,0
18.5,32.1,0.403,0.214,4,0.328,0
6.5,27.2,0.302,0.061,2,0.071,0
2.9,52.3,0.771,0.273,6,0.891,1
207.1,26.4,0.732,0.735,2,0.828,1
17.5,29.4,0.366,0.09,6,0.293,0
74.7,37.0,0.14,0.351,2,0.327,0
13.2,23.0,0.904,0.133,3,0.164,0
51.5,31.0,0.926,0.281,7,0.679,1
64.3,38.2,0.688,0.384,11,0.829,1
40.7,31.7,0.318,0.415,2,0.192,0
28.7,34.1,0.39,0.277,6,0.348,0
23.9,29.7,0.578,0.229,4,0.224,0
19.3,19.9,0.345,0.168,3,0.123,0
119.4,38.2,0.461,0.443,1,0.672,1
79.9,52.5,0.173,0.445,4,0.723,1
150.9,35.2,0.618,0.499,3,0.832,1
6.0,37.3,0.549,0.093,2,0.196,0
59.1,41.9,0.355,0.158,4,0.422,0
125.4,22.3,0.146,0.484,2,0.346,0
9.0,52.0,0.275,0.191,4,0.533,1
3.1,37.0,0.182,0.106,2,0.113,0
60.8,51.3,0.568,0.374,6,0.854,1
38.4,27.7,0.363,0.206,1,0.15,0
83.0,53.2,0.589,0.333,2,0.862,1
6.8,42.8,0.1,0.164,1,0.245,0
71.4,40.5,0.583,0.288,5,0.649,1
10.1,37.3,0.458,0.193,3,0.23,0
8.0,32.5,0.514,0.261,2,0.234,0
8.1,47.0,0.215,0.077,3,0.403,0
75.8,36.4,0.372,0.366,2,0.379,0
49.2,15.3,0.353,0.279,2,0.081,0
33.3,23.8,0.573,0.24,2,0.168,0
20.0,33.1,0.152,0.266,0,0.126,0
94.4,38.1,0.174,0.374,2,0.384,0
22.4,34.4,0.166,0.241,3,0.25,0
76.3,47.2,0.147,0.385,2,0.524,1
26.0,15.5,0.158,0.17,1,0.027,0
21.3,36.4,0.374,0.224,0,0.19,0
28.0,16.8,0.436,0.195,0,0.061,0
16.1,42.6,0.149,0.177,1,0.16,0
62.0,34.1,0.377,0.269,2,0.219,0
31.4,39.2,0.443,0.261,1,0.237,0
11.9,26.4,0.586,0.184,2,0.175,0
103.4,47.8,0.076,0.423,3,0.656,1
21.8,45.4,0.45,0.199,0,0.295,0
35.3,40.8,0.447,0.104,3,0.313,0
106.6,33.7,0.387,0.401,3,0.573,1
44.0,40.8,0.239,0.258,1,0.277,0
5.6,27.9,0.155,0.182,1,0.16,0
126.5,43.6,0.116,0.398,1,0.654,1
44.5,51.5,0.547,0.158,2,0.671,1
18.4,45.7,0.13,0.243,2,0.322,0
6.7,27.7,0.151,0.144,0,0.082,0
71.1,38.6,0.419,0.33,3,0.439,0
43.5,22.1,0.051,0.229,2,0.071,0
34.3,40.7,0.505,0.23,0,0.282,0
100.9,39.5,0.276,0.35,3,0.571,1
69.9,16.3,0.544,0.236,1,0.16,0
7.4,23.4,0.24,0.205,3,0.124,0
16.8,32.2,0.34,0.141,4,0.338,0
12.9,32.0,0.462,0.193,2,0.2,0
61.3,22.9,0.687,0.326,5,0.249,0
1.5,38.9,0.264,0.107,3,0.289,0
38.0,37.5,0.229,0.142,1,0.219,0
64.7,33.1,0.165,0.495,0,0.226,0
94.2,27.4,0.374,0.328,10,0.594,1
18.8,45.5,0.571,0.244,1,0.467,0
77.5,51.6,0.523,0.486,0,0.841,1
5.3,30.2,0.556,0.226,3,0.247,0
84.3,28.9,0.594,0.323,4,0.365,0
6.1,39.9,0.254,0.159,2,0.097,0
22.8,31.4,0.023,0.137,1,0.142,0
71.8,33.6,0.26,0.388,1,0.226,0
7.3,42.4,0.562,0.212,4,0.463,0
11.7,15.9,0.186,0.136,1,0.046,0
57.6,48.2,0.556,0.201,3,0.576,1
57.3,35.7,0.364,0.178,4,0.292,0
46.1,30.9,0.394,0.337,1,0.179,0
53.3,34.1,0.557,0.284,5,0.45,0
35.2,34.6,0.28,0.249,2,0.243,0
13.1,17.7,0.697,0.115,2,0.075,0
19.1,49.9,0.405,0.077,1,0.338,0
9.0,35.4,0.754,0.248,7,0.57,1
107.6,39.4,0.403,0.404,2,0.662,1
39.4,44.5,0.262,0.315,0,0.346,0
23.1,24.8,0.576,0.173,1,0.105,0
27.9,39.7,0.416,0.196,5,0.435,0
132.4,32.3,0.127,0.516,2,0.522,1
7.5,43.5,0.722,0.226,4,0.59,1
39.7,13.7,0.452,0.306,5,0.177,0
31.7,34.0,0.699,0.2,6,0.372,0
42.5,29.0,0.425,0.298,4,0.345,0
0.8,39.3,0.209,0.241,2,0.291,0
92.6,39.7,0.45,0.358,3,0.604,1
121.0,27.9,0.481,0.391,4,0.564,1
37.5,27.9,0.241,0.345,2,0.171,0
53.7,33.9,0.291,0.223,1,0.237,0
115.1,26.0,0.362,0.469,3,0.442,0
55.3,43.4,0.701,0.274,2,0.579,1
7.4,31.3,0.076,0.05,1,0.154,0
38.6,10.0,0.34,0.33,6,0.09,0
42.0,31.3,0.637,0.05,6,0.36,0
24.8,24.6,0.136,0.05,1,0.03,0
60.0,18.7,0.945,0.332,5,0.298,0
122.6,22.6,0.586,0.478,4,0.558,1
116.9,36.1,0.16,0.372,3,0.59,1
27.0,48.3,0.395,0.225,2,0.426,0
5.4,38.1,0.233,0.05,3,0.221,0
188.5,28.9,0.236,0.646,1,0.677,1
82.2,39.6,0.416,0.362,2,0.45,0
6.0,30.4,0.056,0.16,2,0.189,0
114.1,28.1,0.07,0.418,0,0.286,0
91.8,23.5,0.425,0.404,4,0.383,0
32.9,17.5,0.295,0.225,5,0.16,0
40.3,31.1,0.453,0.094,1,0.149,0
22.9,36.6,0.391,0.379,6,0.379,0
2.5,34.0,0.219,0.252,2,0.145,0
18.4,30.8,0.502,0.09,2,0.158,0
73.1,25.5,0.438,0.293,3,0.25,0
0.2,41.1,0.882,0.132,2,0.56,1
18.3,21.8,0.276,0.279,3,0.131,0
22.9,42.8,0.17,0.05,3,0.247,0
34.7,25.0,0.585,0.191,4,0.221,0
113.6,27.5,0.365,0.274,2,0.438,0
19.1,20.3,0.191,0.172,4,0.166,0
19.2,30.0,0.429,0.157,3,0.147,0
60.2,44.8,0.459,0.297,4,0.557,1
27.1,40.2,0.38,0.165,2,0.329,0
11.4,44.8,0.49,0.117,5,0.423,0
27.1,40.2,0.254,0.263,1,0.249,0
6.8,24.0,0.59,0.202,4,0.198,0
8.7,31.7,0.474,0.214,3,0.212,0
31.0,27.2,0.154,0.208,1,0.189,0
24.4,48.3,0.509,0.161,4,0.557,1
110.8,23.0,0.282,0.399,2,0.417,0
20.3,43.9,0.917,0.237,4,0.776,1
39.1,43.9,0.274,0.067,4,0.364,0
45.0,53.3,0.17,0.287,6,0.641,1
0.6,30.9,0.244,0.176,3,0.159,0
49.0,42.1,0.354,0.269,0,0.311,0
8.8,57.8,0.313,0.159,3,0.669,1
146.1,28.8,0.498,0.286,0,0.595,1
7.2,19.6,0.122,0.132,2,0.114,0
24.1,16.2,0.193,0.349,0,0.024,0
4.0,42.1,0.385,0.16,3,0.297,0
259.6,16.2,0.129,0.731,4,0.696,1
31.4,31.3,0.561,0.225,1,0.133,0
40.7,39.4,0.206,0.273,1,0.251,0
3.1,36.9,0.302,0.21,3,0.246,0
62.4,39.3,0.131,0.277,2,0.319,0
10.6,37.2,0.112,0.209,2,0.214,0
102.7,47.8,0.653,0.524,2,0.864,1
10.3,25.5,0.312,0.255,4,0.157,0
9.5,28.2,0.206,0.359,3,0.162,0
1.7,27.3,0.563,0.101,3,0.212,0
28.7,43.3,0.864,0.351,2,0.628,1
37.4,44.0,0.33,0.174,3,0.373,0
3.1,39.5,0.584,0.185,2,0.302,0
67.2,46.8,0.604,0.365,1,0.657,1
27.2,23.2,0.451,0.173,3,0.174,0
33.4,51.7,0.322,0.235,2,0.444,0
26.2,50.2,0.789,0.284,2,0.789,1
23.0,42.4,0.169,0.147,1,0.228,0
36.9,52.8,0.692,0.37,6,0.908,1
7.6,18.4,0.309,0.057,1,0.081,0
9.0,29.8,0.276,0.326,2,0.129,0
89.1,27.6,0.12,0.438,0,0.177,0
131.4,42.2,0.315,0.45,3,0.738,1
21.0,24.5,0.177,0.167,2,0.146,0
14.2,42.6,0.625,0.143,5,0.508,1
46.5,48.7,0.45,0.248,3,0.564,1
23.6,42.0,0.493,0.201,4,0.36,0
1.2,37.8,0.288,0.253,2,0.239,0
7.6,25.1,0.562,0.325,2,0.207,0
56.6,26.5,0.195,0.298,2,0.099,0
48.4,47.5,0.258,0.195,2,0.371,0
1.2,42.8,0.225,0.109,1,0.158,0
11.3,34.6,0.519,0.162,1,0.197,0
11.8,30.8,0.235,0.095,3,0.135,0
50.1,14.7,0.512,0.173,2,0.13,0
0.9,24.3,0.036,0.32,0,0.1,0
4.9,54.1,0.761,0.186,0,0.818,1
72.4,22.2,0.303,0.252,1,0.155,0
8.9,36.9,0.554,0.236,2,0.315,0
47.6,45.1,0.034,0.167,2,0.258,0
12.2,22.5,0.079,0.091,2,0.06,0
4.7,36.8,0.763,0.097,5,0.481,0
12.5,44.4,0.163,0.312,1,0.334,0
57.6,35.1,0.478,0.264,2,0.335,0
87.1,60.0,0.621,0.158,3,0.937,1
79.8,18.3,0.185,0.433,0,0.097,0
22.8,45.6,0.693,0.179,1,0.548,1
49.6,33.3,0.45,0.118,4,0.308,0
10.3,42.7,0.547,0.149,3,0.483,0
15.6,39.4,0.307,0.228,1,0.188,0
102.0,27.7,0.175,0.42,0,0.315,0
0.6,37.3,0.526,0.295,5,0.44,0
4.0,16.4,0.609,0.091,3,0.108,0
10.5,41.0,0.472,0.178,6,0.514,1
1.2,38.0,0.764,0.097,5,0.486,0
9.0,41.4,0.575,0.05,4,0.345,0
39.4,45.6,0.748,0.313,4,0.73,1
24.6,38.7,0.779,0.245,3,0.466,0
100.4,36.5,0.622,0.407,2,0.602,1
76.5,26.2,0.506,0.363,6,0.431,0
18.8,27.9,0.164,0.139,0,0.144,0
13.5,46.9,0.874,0.101,7,0.821,1
21.5,49.4,0.228,0.203,2,0.361,0
40.2,32.6,0.346,0.337,1,0.223,0
14.0,35.5,0.236,0.311,2,0.25,0
44.0,26.0,0.36,0.316,2,0.097,0
23.7,46.7,0.174,0.208,2,0.332,0
36.1,41.7,0.486,0.256,4,0.446,0
25.8,54.4,0.342,0.211,1,0.575,1
15.7,26.2,0.426,0.105,3,0.181,0
133.4,31.2,0.556,0.463,8,0.865,1
64.9,37.3,0.083,0.195,0,0.173,0
6.8,41.5,0.521,0.156,4,0.404,0
91.3,32.8,0.284,0.494,2,0.434,0
30.1,26.3,0.319,0.286,2,0.157,0
101.2,43.8,0.396,0.312,6,0.763,1
72.4,42.2,0.206,0.313,2,0.325,0
24.9,25.8,0.394,0.141,3,0.164,0
1.0,48.6,0.459,0.147,1,0.323,0
14.1,46.7,0.441,0.266,1,0.395,0
35.1,36.3,0.265,0.284,2,0.245,0
45.2,35.8,0.304,0.454,2,0.325,0
13.4,40.5,0.07,0.277,1,0.17,0
6.8,26.4,0.19,0.182,4,0.185,0
81.1,35.3,0.12,0.393,1,0.346,0
187.2,13.5,0.552,0.571,1,0.51,1
33.6,43.8,0.234,0.138,4,0.289,0
8.5,19.4,0.393,0.274,6,0.209,0
14.3,50.0,0.388,0.264,1,0.419,0
0.8,31.7,0.311,0.133,4,0.181,0
110.6,32.9,0.161,0.43,3,0.537,1
5.6,28.7,0.294,0.262,1,0.219,0
38.7,32.1,0.647,0.308,5,0.366,0
14.4,49.2,0.554,0.067,2,0.439,0
36.4,10.1,0.688,0.254,3,0.094,0
47.4,47.8,0.738,0.247,4,0.735,1
79.7,38.4,0.334,0.425,3,0.543,1
10.4,22.9,0.65,0.257,4,0.194,0
0.5,24.2,0.298,0.257,2,0.119,0
6.6,51.8,0.411,0.076,0,0.446,0
103.6,25.5,0.371,0.329,0,0.307,0
93.2,23.5,0.511,0.457,3,0.395,0
40.9,46.4,0.639,0.198,7,0.686,1
41.3,38.4,0.359,0.125,4,0.294,0
49.2,25.6,0.399,0.307,3,0.164,0
8.7,37.2,0.331,0.126,5,0.334,0
110.6,24.7,0.395,0.551,2,0.477,0
24.4,46.0,0.432,0.231,3,0.436,0
21.7,45.6,0.506,0.214,0,0.354,0
32.9,40.3,0.2,0.197,0,0.186,0
2.2,38.6,0.223,0.282,3,0.209,0
8.2,52.6,0.604,0.198,4,0.707,1
60.3,35.0,0.447,0.258,2,0.331,0
3.9,23.2,0.313,0.096,4,0.118,0
41.6,39.5,0.778,0.241,6,0.651,1
12.7,55.9,0.059,0.101,2,0.361,0
22.2,24.9,0.367,0.284,5,0.214,0
15.3,31.4,0.345,0.05,0,0.102,0
19.8,39.2,0.588,0.185,6,0.435,0
57.1,34.5,0.394,0.332,4,0.387,0
15.9,25.2,0.369,0.214,1,0.162,0
37.6,46.2,0.533,0.18,2,0.429,0
29.1,58.2,0.157,0.271,1,0.579,1
49.0,37.0,0.412,0.194,5,0.378,0
124.3,26.0,0.406,0.438,2,0.435,0
59.4,19.5,0.667,0.341,3,0.155,0
10.9,37.6,0.822,0.212,4,0.574,1
1.4,46.0,0.656,0.099,5,0.538,1
13.7,39.8,0.317,0.278,1,0.303,0
40.7,35.0,0.199,0.252,3,0.187,0
2.4,29.1,0.26,0.215,3,0.203,0
30.9,24.1,0.235,0.344,3,0.151,0
40.9,43.3,0.145,0.335,2,0.316,0
18.3,44.1,0.639,0.282,2,0.593,1
66.3,19.5,0.599,0.32,3,0.16,0
5.1,50.9,0.383,0.225,3,0.56,1
3.5,40.7,0.332,0.175,3,0.32,0
58.6,49.0,0.542,0.19,0,0.644,1
30.8,21.6,0.379,0.246,5,0.152,0
52.5,21.3,0.312,0.293,4,0.162,0
25.7,33.5,0.323,0.257,4,0.3,0
12.7,40.0,0.637,0.169,0,0.293,0
76.9,53.0,0.218,0.269,1,0.557,1
72.3,42.1,0.594,0.371,3,0.653,1
53.4,32.6,0.467,0.17,3,0.259,0
14.3,24.7,0.758,0.3,2,0.183,0
40.1,47.3,0.293,0.225,0,0.361,0
20.2,25.4,0.148,0.217,2,0.145,0
4.3,51.3,0.448,0.205,3,0.558,1
112.2,32.2,0.189,0.459,0,0.387,0
6.6,50.9,0.178,0.053,3,0.329,0
135.0,41.8,0.692,0.531,3,0.946,1
26.6,33.6,0.689,0.236,2,0.297,0
9.2,29.8,0.367,0.121,3,0.152,0
35.1,31.6,0.372,0.172,3,0.168,0
92.8,39.3,0.372,0.34,1,0.474,0
59.3,35.8,0.553,0.184,4,0.369,0
73.9,29.1,0.294,0.46,3,0.219,0
48.4,33.3,0.024,0.382,0,0.112,0
53.0,35.8,0.152,0.31,3,0.26,0
85.1,13.7,0.235,0.331,1,0.131,0
12.9,39.6,0.303,0.164,4,0.296,0
30.2,25.2,0.549,0.281,2,0.167,0
11.3,23.5,0.671,0.317,4,0.176,0
197.8,18.1,0.236,0.566,3,0.596,1
129.8,17.1,0.382,0.363,3,0.487,0
1.8,21.4,0.591,0.278,0,0.156,0
55.0,27.9,0.245,0.135,2,0.19,0
116.7,54.5,0.652,0.342,1,0.963,1
9.0,29.7,0.141,0.151,1,0.161,0
37.8,36.8,0.367,0.113,2,0.187,0
111.2,39.0,0.361,0.498,1,0.614,1
1.6,36.3,0.524,0.222,1,0.203,0
53.8,34.2,0.169,0.23,1,0.147,0
15.9,23.0,0.624,0.289,4,0.233,0
116.2,49.5,0.496,0.537,2,0.936,1
159.4,53.1,0.457,0.513,3,0.961,1
129.9,18.2,0.318,0.417,3,0.517,1
28.9,24.8,0.444,0.398,2,0.185,0
89.1,32.2,0.562,0.416,4,0.491,0
83.8,25.4,0.564,0.366,2,0.257,0
17.3,40.1,0.313,0.299,2,0.334,0
79.5,27.7,0.212,0.36,1,0.221,0
1.7,56.7,0.243,0.114,2,0.542,1
40.8,46.9,0.57,0.252,2,0.442,0
11.8,37.1,0.339,0.261,3,0.288,0
5.8,45.3,0.17,0.05,2,0.228,0
3.6,46.1,0.525,0.135,3,0.395,0
53.6,29.4,0.513,0.386,2,0.259,0
18.7,26.8,0.312,0.153,2,0.188,0
58.1,35.8,0.136,0.409,2,0.357,0
3.0,43.6,0.87,0.27,2,0.687,1
17.0,36.4,0.374,0.185,2,0.205,0
34.9,19.2,0.486,0.186,3,0.114,0
70.4,27.0,0.347,0.291,3,0.285,0
17.3,34.3,0.224,0.403,1,0.16,0
44.2,34.2,0.473,0.403,1,0.302,0
97.7,54.7,0.167,0.388,3,0.809,1
43.1,21.1,0.487,0.202,3,0.171,0
11.9,40.1,0.759,0.187,2,0.386,0
1.1,49.9,0.354,0.172,4,0.491,0
91.8,57.7,0.26,0.265,2,0.741,1
1.0,31.0,0.188,0.159,4,0.172,0
93.5,39.9,0.298,0.474,3,0.603,1
33.9,40.7,0.336,0.085,1,0.279,0
125.9,37.0,0.683,0.51,4,0.863,1
72.2,34.0,0.469,0.428,4,0.423,0
278.2,39.4,0.554,0.754,0,0.976,1
19.4,10.0,0.263,0.331,4,0.083,0
65.6,41.8,0.398,0.248,2,0.356,0
23.1,36.3,0.479,0.239,4,0.367,0
29.4,32.8,0.058,0.194,1,0.163,0
44.4,55.5,0.072,0.229,1,0.444,0
93.1,28.3,0.073,0.318,0,0.223,0
186.3,31.0,0.322,0.641,4,0.84,1
65.8,54.9,0.584,0.371,0,0.824,1
24.3,26.7,0.208,0.202,3,0.178,0
24.6,29.5,0.16,0.099,1,0.104,0
60.2,33.5,0.275,0.323,1,0.249,0
12.3,43.4,0.343,0.212,2,0.324,0
5.3,37.1,0.241,0.145,6,0.297,0
19.7,22.1,0.17,0.345,2,0.115,0
15.2,29.7,0.154,0.06,2,0.131,0
15.8,28.9,0.842,0.05,2,0.184,0
12.0,34.2,0.114,0.119,2,0.137,0
1.9,39.3,0.5,0.211,1,0.28,0
0.8,39.2,0.787,0.067,2,0.33,0
198.0,17.2,0.618,0.534,3,0.656,1
25.1,45.6,0.157,0.285,1,0.395,0
21.8,37.5,0.72,0.238,2,0.352,0
51.2,48.8,0.126,0.3,2,0.403,0
11.1,39.4,0.259,0.238,3,0.248,0
134.8,46.0,0.341,0.43,1,0.808,1
69.5,39.7,0.167,0.282,3,0.319,0
4.2,48.5,0.405,0.225,4,0.515,1
24.3,40.2,0.224,0.099,3,0.224,0
95.1,34.0,0.808,0.2,5,0.71,1
130.3,57.7,0.342,0.419,4,0.965,1
28.3,43.9,0.59,0.291,8,0.664,1
42.8,40.7,0.779,0.27,2,0.584,1
8.2,22.2,0.473,0.238,2,0.1,0
212.8,22.1,0.8,0.485,1,0.679,1
11.9,37.9,0.579,0.203,3,0.351,0
128.7,36.5,0.496,0.503,0,0.758,1
47.2,28.9,0.359,0.152,4,0.154,0
42.1,36.4,0.111,0.317,0,0.126,0
32.3,50.9,0.343,0.217,5,0.632,1
11.8,42.0,0.191,0.423,3,0.327,0
8.7,23.6,0.642,0.05,2,0.171,0
11.2,33.9,0.207,0.286,2,0.162,0
9.3,27.0,0.415,0.14,2,0.157,0
68.1,31.1,0.545,0.179,4,0.409,0
19.4,30.9,0.186,0.153,2,0.108,0
2.7,30.2,0.396,0.178,2,0.216,0
156.5,22.4,0.274,0.598,2,0.625,1
96.9,33.7,0.463,0.514,2,0.449,0
118.2,29.4,0.15,0.54,1,0.468,0
237.6,10.0,0.821,0.627,3,0.632,1
8.6,55.5,0.469,0.26,3,0.736,1
22.7,45.9,0.805,0.234,3,0.715,1
63.9,31.2,0.588,0.247,4,0.348,0
53.6,35.2,0.277,0.258,2,0.251,0
7.5,23.3,0.583,0.111,5,0.218,0
76.1,52.0,0.673,0.331,1,0.856,1
11.4,54.0,0.603,0.118,4,0.664,1
11.4,36.6,0.417,0.094,3,0.3,0
34.6,45.2,0.219,0.269,2,0.302,0
40.4,36.8,0.595,0.295,5,0.497,0
39.0,21.6,0.551,0.226,4,0.2,0
4.3,30.9,0.31,0.269,0,0.09,0
94.5,36.3,0.169,0.35,0,0.349,0
13.9,30.5,0.515,0.158,5,0.24,0
6.2,32.8,0.211,0.217,2,0.219,0
98.8,34.1,0.301,0.37,3,0.438,0
140.2,34.2,0.571,0.484,2,0.712,1
89.2,35.5,0.186,0.156,3,0.411,0
74.6,24.4,0.118,0.325,3,0.219,0
47.9,27.8,0.09,0.116,2,0.178,0
36.0,22.2,0.528,0.136,4,0.15,0
4.1,44.8,0.531,0.053,3,0.313,0
23.6,13.9,0.334,0.122,4,0.185,0
21.0,46.5,0.614,0.155,1,0.457,0
13.5,48.9,0.323,0.143,5,0.517,1
57.8,32.0,0.342,0.338,4,0.337,0
30.8,10.0,0.307,0.24,0,0.049,0
3.8,31.4,0.083,0.05,0,0.112,0
11.2,34.4,0.27,0.183,4,0.307,0
51.7,24.9,0.109,0.296,3,0.169,0
3.6,29.8,0.248,0.132,3,0.207,0
85.7,50.3,0.557,0.345,3,0.73,1
30.8,41.6,0.067,0.237,0,0.24,0
29.5,25.8,0.264,0.28,4,0.132,0
40.4,19.0,0.258,0.118,5,0.204,0
78.4,31.7,0.487,0.313,3,0.384,0
19.2,32.9,0.198,0.316,5,0.269,0
51.0,40.0,0.537,0.382,2,0.44,0
37.5,29.6,0.219,0.306,2,0.169,0
14.0,40.1,0.59,0.226,6,0.485,0
94.9,54.4,0.512,0.504,2,0.902,1
71.8,43.2,0.408,0.471,4,0.705,1
48.3,34.5,0.287,0.252,0,0.237,0
85.5,33.2,0.138,0.272,2,0.256,0
90.9,31.4,0.36,0.34,3,0.403,0
55.5,46.8,0.6,0.527,3,0.759,1
81.6,28.7,0.183,0.215,1,0.201,0
53.8,35.5,0.611,0.238,1,0.271,0
51.3,35.5,0.631,0.157,2,0.339,0
43.4,30.0,0.21,0.261,5,0.289,0
62.9,21.3,0.407,0.2,1,0.107,0
7.8,38.2,0.761,0.159,2,0.473,0
95.7,34.4,0.255,0.217,4,0.497,0
92.5,40.0,0.544,0.415,3,0.67,1
1.3,29.7,0.185,0.251,2,0.106,0
